0	645	868	125	748	366	316	1057	382	471	593	844	232	575	734	521	120	343	312	396
645	0	252	664	81	901	294	394	805	343	196	446	877	1130	213	376	765	324	891	672
868	252	0	858	217	1171	520	148	1111	611	390	591	1100	1391	335	560	988	547	1141	867
125	664	858	0	738	431	407	1182	257	677	468	803	298	671	690	624	185	321	389	271
748	81	217	738	0	1119	303	365	681	377	270	365	977	1488	287	297	875	405	957	747
366	901	1171	431	1119	0	618	1402	328	747	898	1070	134	280	1040	798	246	709	143	701
316	294	520	407	303	618	0	668	664	174	246	570	547	883	387	225	435	126	637	363
1057	394	148	1182	365	1402	668	0	1199	857	474	739	1289	1539	333	806	1177	706	1292	951
382	805	1111	257	681	328	664	1199	0	780	725	1052	159	413	866	869	263	578	336	949
471	343	611	677	377	747	174	857	780	0	420	282	754	999	556	51	590	300	642	640
593	196	390	468	270	898	246	474	725	420	0	635	825	1149	141	471	653	279	892	477
844	446	591	803	365	1070	570	739	1052	282	635	0	1097	1363	652	221	964	696	981	1112
232	877	1100	298	977	134	547	1289	159	754	825	1097	0	338	987	831	112	575	176	568
575	1130	1391	671	1488	280	883	1539	413	999	1149	1363	338	0	1299	1065	455	984	444	951
734	213	335	690	287	1040	387	333	866	556	141	652	987	1299	0	576	854	420	1036	608
521	376	560	624	297	798	225	806	869	51	471	221	831	1065	576	0	641	351	713	691
120	765	988	185	875	246	435	1177	263	590	653	964	112	455	854	641	0	463	190	455
343	324	547	321	405	709	126	706	578	300	279	696	575	984	420	351	463	0	660	330
312	891	1141	389	957	143	637	1292	336	642	892	981	176	444	1036	713	190	660	0	695
396	672	867	271	747	701	363	951	949	640	477	1112	568	951	608	691	455	330	695	0
