0	1119	365	377	925	365	477	977	1488	287	297	875	405	957	747
1119	0	1402	747	296	1070	908	134	280	1040	789	246	709	143	701
365	1402	0	857	1129	739	253	1289	1539	333	806	1177	706	1292	951
377	747	857	0	864	282	681	754	999	556	51	590	300	642	640
925	296	1129	864	0	1157	664	162	484	805	834	193	508	331	458
365	1070	739	282	1157	0	896	1097	1663	652	221	964	696	981	1112
477	908	253	681	664	896	0	774	1338	190	732	662	540	883	350
977	134	1289	754	162	1097	774	0	338	987	831	112	575	176	568
1488	280	1539	999	484	1663	1338	338	0	1299	1065	455	984	444	951
287	1040	333	556	805	652	190	987	1299	0	576	854	420	1036	608
297	789	806	51	834	221	732	831	1065	576	0	641	351	713	691
875	246	1177	590	193	964	662	112	455	854	641	0	463	190	455
405	709	706	300	508	696	540	575	984	420	351	463	0	660	330
957	143	1292	642	331	981	883	176	444	1036	713	190	660	0	695
747	701	951	640	458	1112	350	568	951	608	691	455	330	695	0


